larval_ID,pop_origin,photoperiod,full_treatment,5th_day,blocking_day,development_time,larval_mass,pupal_mass,sex,Experiment_Notes,percent_R,percent_G,percent_B,gray_R,gray_G,gray_B,darkness_G,initials
CO426,CO,16,CO16,10/23,11/1,9,4.0206,2.3461,F,photo two days late,24.308,17.313,24.807,15.758,11.495,12.786,17.505,AC
CO427,CO,16,CO16,10/23,10/29,6,2.5759,1.8313,M,photo two days late,0.971,0.876,1.465,18.375,18.076,17.86,10.924,AC
CO428,CO,16,CO16,10/23,10/30,7,2.8067,2.115,M,,5.04,4.722,6.154,15.896,15.134,13.711,13.866,AC
CO429,CO,16,CO16,10/23,10/30,7,3.3156,2.6621,M,,2.324,2.29,3.347,18.004,17.256,16.288,11.744,AC
CO430,CO,16,CO16,10/24,10/31,7,6.6799,4.2113,F,,28.23,11.056,15.568,19.644,10.599,12.697,18.401,AC
CO431,CO,16,CO16,10/24,10/30,6,5.0593,2.9178,M,,9.288,8.226,10.067,14.195,12.744,11.67,16.256,AC
CO432,CO,16,CO16,10/24,10/30,6,5.9175,3.6317,F,,35.919,24.517,34.855,17.078,12.911,13.849,16.089,AC
CO433,CO,16,CO16,10/24,10/30,6,4.1497,2.4274,M,,10.507,10.001,13.416,13.754,12.958,12.9,16.042,AC
CO434,CO,16,CO16,10/25,10/31,6,7.3909,4.2702,F,,11.186,9.05,11.881,16.02,13.213,13.662,15.787,AC
CO435,CO,16,CO16,10/25,10/31,6,4.9133,3.0081,M,,36.521,14.61,29.475,19.586,12.307,17.23,16.693,AC
CO436,CO,16,CO16,10/25,10/31,6,6.1437,3.7511,F,,14.497,7.222,11.564,19.934,13.48,15.759,15.52,AC
CO437,CO,16,CO16,10/25,11/1,7,5.9251,3.391,F,,7.328,1.43,2.55,24.553,15.424,17.351,13.576,AC
CO438,CO,16,CO16,10/25,10/31,6,7.9803,4.377,F,,20.988,6.468,19.23,23.245,17.02,21.485,11.98,AC
CO440,CO,16,CO16,10/25,11/1,7,5.3,3.9114,F,,8.202,6.266,8.948,16.859,13.59,14.424,15.41,AC
CO441,CO,16,CO16,10/26,11/1,6,4.0304,2.5928,M,,16.204,10.91,14.868,15.478,10.794,11.975,18.206,AC
CO442,CO,16,CO16,10/26,11/2,7,3.345,2.4504,M,,2.643,1.433,2.457,22.095,19.155,18.875,9.845,AC
CO443,CO,16,CO16,10/26,11/3,8,4.7951,3.5344,F,,12.087,10.566,15.373,15.887,13.163,14.167,15.837,AC
CO444,CO,16,CO16,10/26,10/31,5,4.4306,2.6947,M,,19.163,10.615,13.648,19.079,12.675,12.87,16.325,AC
CO445,CO,16,CO16,10/26,11/2,7,4.564,1.6503,M,severe deformity- exclude from mass,10.874,6.302,7.989,18.951,13.967,13.645,15.033,AC
CO446,CO,16,CO16,10/27,11/4,8,3.5508,2.2928,M,,6.324,5.831,7.855,15.81,15.071,13.634,13.929,AC
CO447,CO,16,CO16,10/27,11/2,6,3.4736,2.2887,M,,7.466,7.322,9.753,14.621,13.85,12.928,15.15,AC
CO448,CO,16,CO16,10/28,11/2,5,4.7592,2.5445,M,,16.284,12.007,16.626,14.943,10.778,12.362,18.222,AC
CO449,CO,16,CO16,10/28,11/5,8,6.0169,3.7611,F,,42.012,10.059,13.197,21.31,13.475,14.141,15.525,AC
CO450,CO,16,CO16,10/28,11/2,5,5.5035,3.024,M,,23.327,19.908,24.328,13.75,11.7,11.567,17.3,AC
CO451,CO,16,CO16,10/28,11/4,7,4.8494,2.8674,M,,20.79,7.941,11.556,20.479,11.518,12.942,17.482,AC
CO452,CO,16,CO16,10/29,11/4,6,5.124,3.8305,F,,21.044,14.057,20.93,16.25,11.26,13.799,17.74,AC
CO453,CO,16,CO16,10/31,11/14,14,1.9357,,,"photo one day late, did not pupate",42.493,35.441,47.996,11.724,9.14,10.908,19.86,AC
CO454,CO,16,CO16,10/31,11/10,10,2.6435,2.6435,M,,45.206,8.148,18.666,22.226,17.841,20.608,11.159,AC
